公司,日期,实际_MWh,新方法预测_MWh,旧方法预测_MWh,新方法误差%,旧方法误差%
A公司,2026-07-01,78.8,100.0701098901099,106.31012144595371,26.992525241256228,34.91132163192096
A公司,2026-07-02,84.28,99.47010989010988,101.72390245968927,18.02338620088975,20.697558684965912
A公司,2026-07-03,119.76,101.75626373626372,101.18213631718278,15.03317991293945,15.512578225465285
A公司,2026-07-04,122.6,97.2178021978022,101.83838523600213,20.70326085007977,16.93443292332616
A公司,2026-07-05,99.36,99.67626373626378,99.3962449068087,0.3183008617791648,0.03647836836624851
A公司,2026-07-06,110.24000000000001,92.30703296703297,98.48673800992015,16.267205218584035,10.661522124528178
A公司,2026-07-07,117.72,96.80241758241756,101.44596221688491,17.76892831938705,13.8243610118205
A公司,2026-07-08,104.16,100.0701098901099,102.55627942973328,3.9265458044259716,1.5396702863543748
A公司,2026-07-09,92.16,99.47010989010988,100.55607364136499,7.931976877289372,9.110322961550557
A公司,2026-07-10,94.52,101.75626373626372,99.44307827943626,7.655801667650998,5.208504315950348
A公司,2026-07-11,88.24,97.2178021978022,97.72789620518327,10.174299861516554,10.752375572510513
A公司,2026-07-12,77.64,99.67626373626378,97.08314597931759,28.38261686793377,25.042691884747025
A公司,2026-07-13,102.76,92.30703296703297,96.43653323603296,10.172213928539351,6.153626667932121
A公司,2026-07-14,128.72,96.80241758241756,97.56764448314946,24.796133015523957,24.201643502836028
A公司,2026-07-15,118.68,100.0701098901099,99.18652902921626,15.680729785886502,16.425236746531635
A公司,2026-07-16,112.12,99.47010989010988,97.17470414980318,11.282456394835998,13.3297322959301
A公司,2026-07-17,105.36,101.75626373626372,96.81285558123993,3.4204026800837894,8.112323859870985
A公司,2026-07-18,111.08,97.2178021978022,95.69005212333145,12.4794722742148,13.854832442085474
A公司,2026-07-19,112.96000000000001,99.67626373626378,94.04057954064427,11.759681536593687,16.748778735265343
A公司,2026-07-20,106.44,92.30703296703297,91.89525354243818,13.277872071558653,13.664737370877313
B公司,2026-07-01,68.03999999999999,65.78189010989013,70.06961838417706,3.318797604511853,2.9829782248340244
B公司,2026-07-02,59.88,68.86496703296704,71.0169161900342,15.00495496487482,18.59872443225483
B公司,2026-07-03,71.04,68.44958241758243,71.29909140067355,3.646421146421132,0.3647119941913574
B公司,2026-07-04,68.28,67.7111208791209,70.5298319763395,0.8331562988856225,3.2950087526940437
B公司,2026-07-05,64.56,63.9818901098901,68.88813432412529,0.8954614159075278,6.704049448769031
B公司,2026-07-06,65.4,65.01573626373626,71.56059978980839,0.5875592297610819,9.419877354447074
B公司,2026-07-07,63.36,66.18804395604398,72.1859421991993,4.463453213453258,13.929833016413044
B公司,2026-07-08,65.16,65.78189010989013,73.75468910678465,0.9544047113108215,13.190130612008375
B公司,2026-07-09,61.92,68.86496703296704,77.24202752486357,11.216032029985533,24.744876493642717
B公司,2026-07-10,61.199999999999996,68.44958241758243,76.27143171556816,11.845722904546468,24.62652241105909
B公司,2026-07-11,52.44,67.7111208791209,72.07332020993697,29.12113058566152,37.43958850102397
B公司,2026-07-12,57.0,63.9818901098901,66.96821742542704,12.248930017351057,17.488100746363234
B公司,2026-07-13,63.12,65.01573626373626,67.25103767226196,3.0033844482513636,6.544736489641891
B公司,2026-07-14,64.08,66.18804395604398,70.56459331083298,3.2897065481335606,10.119527638628242
B公司,2026-07-15,50.16,65.78189010989013,71.86256799971461,31.144119038855926,43.26668261506104
B公司,2026-07-16,43.56,68.86496703296704,73.46779665655411,58.09221081948357,68.65885366518391
B公司,2026-07-17,45.12,68.44958241758243,73.8322578674454,51.705634790741215,63.63532328777794
B公司,2026-07-18,46.68,67.7111208791209,73.00181165264893,45.05381507952207,56.387771321013126
B公司,2026-07-19,48.24,63.9818901098901,71.65667059241746,32.63244218468097,48.54202029937283
B公司,2026-07-20,48.6,62.16774318335795,70.05028375739529,27.917167043946396,44.136386332089074
C公司,2026-07-01,11.937,12.34352967032967,12.186785825463344,3.405626793412666,2.0925343508699417
C公司,2026-07-02,12.462,12.591837362637367,12.414445342937224,1.0418661742687165,0.3815973123316933
C公司,2026-07-03,13.029,12.358760439560442,12.09436346083848,5.1442133735479185,7.173509395667511
C公司,2026-07-04,11.958,12.058298901098903,11.960739473068944,0.8387598352475548,0.022909124175815896
C公司,2026-07-05,12.465,11.678914285714287,11.775268575960864,6.306343476018557,5.533344757634468
C公司,2026-07-06,13.212,12.163529670329671,12.18061537475332,7.935742731383049,7.806423139923405
C公司,2026-07-07,13.101,12.381606593406595,12.285501324205393,5.491133551586949,6.224705562892967
C公司,2026-07-08,13.743,12.34352967032967,12.276244049428874,10.183150183150193,10.672749403850155
C公司,2026-07-09,13.533,12.591837362637367,12.565619616812675,6.954575019305641,7.148306976925471
C公司,2026-07-10,12.021,12.358760439560442,12.25925970741812,2.8097532614627796,1.9820290110483307
C公司,2026-07-11,13.122,12.058298901098903,11.990356719842705,8.10624218031624,8.624015242777741
C公司,2026-07-12,12.069,11.678914285714287,11.851338851652073,3.232129540854372,1.8034729335315882
C公司,2026-07-13,12.276,12.163529670329671,12.215335702992332,0.9161805935999384,0.49416990068155264
C公司,2026-07-14,13.068,12.381606593406595,12.59253423398308,5.252474797929331,3.638397352440458
C公司,2026-07-15,13.419,12.34352967032967,12.455194326187614,8.014534090992855,7.182395661467964
C公司,2026-07-16,12.705,12.591837362637367,12.61067691037366,0.8906937218625177,0.7424092060317937
